stress_id,capacitor_id,eis_sweep_num,n_freq_points,freq_min_hz,freq_max_hz,ESR_ohm,ReZ_lowfreq_ohm,ImZ_lowfreq_ohm,Zmag_lowfreq_ohm,Phase_lowfreq_deg,Phase_mean_deg,Cs_mean_uF,Cp_mean_uF,ReZ_mean_ohm,Zmag_mean_ohm,is_outlier
ES10,ES10C1,1,51,100.032005,100019.508,0.179381639,0.250426501,0.805480957,0.843512297,-72.7293701,-20.766719557815687,1459.8719404186045,466.51724302946513,0.20404767931372553,0.2721019341176471,False
ES10,ES10C1,2,51,100.032005,100019.508,0.163632482,0.234657913,0.801488936,0.835134029,-73.68116,-21.484824682862747,1471.9197720000002,474.8048191758864,0.19286816319607844,0.26190019621568633,False
ES10,ES10C1,3,51,100.032005,100019.508,0.20992595,0.355947614,0.840392888,0.912665844,-67.04496,-19.7446586772549,1208.6926229111111,363.5547639970667,0.2574228831764706,0.32348185631372556,False
ES10,ES10C1,4,51,100.032005,100019.508,0.216448247,0.358025908,0.853143573,0.925222397,-67.2343979,-20.109295944137255,1182.9903284893617,344.3918028541489,0.2601807888431373,0.3274759592352941,False
ES10,ES10C1,5,51,100.032005,100019.508,0.206304565,0.343106091,0.849585831,0.916252077,-68.0086288,-20.59708982982353,1201.042838875,348.4398918473646,0.24943714954901963,0.3174649780784314,False
ES10,ES10C1,6,51,100.032005,100019.508,0.191572398,0.325080216,0.842321455,0.902874649,-68.8967209,-21.328924714196077,1164.27869418,350.070291437618,0.2357245747647059,0.3046480636470588,False
ES10,ES10C1,7,51,100.032005,100019.508,0.217031151,0.338267535,0.847109973,0.912151456,-68.2322083,-20.29447823052941,1182.0351945,346.5274574975542,0.25389816019607847,0.3211041621960785,False
ES10,ES10C1,8,51,100.032005,100019.508,0.200084299,0.329859972,0.846662939,0.908650517,-68.7141037,-20.602907734039213,1249.2820880638296,364.05521166473403,0.24369303513725488,0.3120294590784314,False
ES10,ES10C1,9,51,100.032005,100019.508,0.206930384,0.338024467,0.848315358,0.913180947,-68.2744217,-20.619321920745097,1114.718893897959,341.314828179849,0.25148657692156867,0.31911966966666666,False
ES10,ES10C1,10,51,100.032005,100019.508,0.198417738,0.324426502,0.844731271,0.90488863,-68.9902725,-20.899359717568622,1174.1902256938777,351.9996948355449,0.2417073758627451,0.31004888986274515,False
ES10,ES10C1,11,51,100.032005,100019.508,0.206252769,0.329323411,0.842623591,0.904692471,-68.6529007,-20.02400219907843,1292.8056975217391,368.64872644816523,0.24841200047058826,0.31554995388235296,False
ES10,ES10C1,12,51,100.032005,100019.508,0.195741311,0.3206819,0.845522165,0.904292345,-69.2297287,-20.40964691617647,1261.7659369333337,386.3213255365556,0.238975934254902,0.3076939866862745,False
ES10,ES10C1,13,51,100.032005,100019.508,0.202396393,0.326503575,0.846715927,0.907486856,-68.9127808,-19.986843105588235,1468.0331580444442,379.62167981221114,0.2447989641960784,0.31276581827450983,False
ES10,ES10C1,14,51,100.032005,100019.508,0.197205767,0.312584281,0.842564821,0.898679256,-69.6455841,-20.54047087882353,1300.8701209111111,393.47290269144446,0.23357707027450977,0.302592664627451,False
ES10,ES10C1,15,51,100.032005,100019.508,0.189339772,0.294213355,0.838071883,0.888215065,-70.6558762,-20.582399934607846,1394.6321900444445,404.17487662879995,0.2275157170784314,0.2964814897647059,False
ES10,ES10C1,16,51,100.032005,100019.508,0.196788117,0.3153736,0.844025016,0.901020944,-69.5115814,-20.329885519058823,1275.3982989111112,388.1921117358444,0.23837001649019604,0.3068303904117647,False
ES10,ES10C1,17,51,100.032005,100019.508,0.287403822,0.513351679,0.912860394,1.0473032,-60.6485558,-18.097627898156865,982.0250188510638,258.6030906441915,0.35254734350980393,0.4179699269019608,False
ES10,ES10C1,18,51,100.032005,100019.508,0.258366346,0.438882679,0.889954567,0.992288828,-63.7497063,-18.510985541294115,1122.9324621489359,287.9151517228064,0.3187325182156862,0.3840623854705882,False
ES10,ES10C1,19,51,100.032005,100019.508,0.239241824,0.405028403,0.87954998,0.968326509,-65.2741623,-19.098819377035294,1301.1359889574467,308.54247623556387,0.29492902407843136,0.361429227882353,False
ES10,ES10C1,20,51,100.032005,100019.508,0.269033939,0.441700816,0.890503168,0.994029939,-63.6180077,-18.122178356889805,1061.9564934999999,289.4642705617826,0.3274453271372549,0.39185992764705885,False
ES10,ES10C1,21,51,100.032005,100019.508,0.243875593,0.403049529,0.882576704,0.970252812,-65.4550705,-18.88163497435294,1115.9838508695655,313.48237162800217,0.2981036009803922,0.3643849766666667,False
ES10,ES10C1,22,51,100.032005,100019.508,0.231838733,0.376729101,0.875248909,0.952882707,-66.7117386,-19.356563110803922,1154.3845949782608,330.67500199293914,0.2800912109019608,0.3474258427254902,False
ES10,ES10C1,23,51,100.032005,100019.508,0.230203286,0.377833486,0.875499249,0.953549743,-66.6567383,-19.290962932941177,1204.4453442608697,329.8281178604978,0.2809736465686275,0.34840160764705885,False
ES10,ES10C1,24,51,100.032005,100019.508,0.247852787,0.395935088,0.882133186,0.966914475,-65.8276367,-18.96176337172549,1117.273719695652,317.15020451413045,0.2950017430980392,0.3614897316470588,False
ES10,ES10C1,25,51,100.032005,100019.508,0.228187039,0.371784806,0.875704527,0.95135814,-66.9961014,-19.409803838182356,1502.9212692391302,334.17028859751963,0.2768214681176471,0.34457280270588236,False
ES10,ES10C1,26,51,100.032005,100019.508,0.23794657,0.380895466,0.877815545,0.956891596,-66.5433578,-19.305082306215688,1127.4338147608692,326.9718253371739,0.28408777488235293,0.3513886840588235,False
ES10,ES10C1,27,51,100.032005,100019.508,0.227234185,0.365555614,0.874616444,0.947937131,-67.3169708,-19.63389842564118,1141.6397914347829,337.7814637609348,0.2736054421372549,0.34153301750980397,False
ES10,ES10C1,28,51,100.032005,100019.508,0.239695862,0.375745177,0.876493394,0.953637838,-66.7956009,-19.16181365564706,1325.3706691739128,329.4761626207457,0.28277987915686276,0.34999146611764703,False
ES10,ES10C1,29,51,100.032005,100019.508,0.22231698,0.360272795,0.873671651,0.945038974,-67.5904007,-19.742061005966665,1147.820669543478,341.1562522926957,0.2703392712156863,0.33857482376470593,False
ES10,ES10C1,30,51,100.032005,100019.508,0.235239148,0.375276595,0.877914011,0.954759419,-66.8550415,-19.187158083568626,1141.2053693260868,328.02739523395655,0.2845809184901961,0.3515092961372549,False
ES10,ES10C1,31,51,100.032005,100019.508,0.224424109,0.360345602,0.873550713,0.944954932,-67.583519,-19.607430120019608,1158.4572985,340.04900456321735,0.27203709449019603,0.33996163719607847,False
ES10,ES10C1,32,51,100.032005,100019.508,0.237759158,0.370403409,0.87537986,0.950520158,-67.0651016,-19.252725241529415,1158.949189478261,331.56829472997174,0.2811714843137255,0.3482919110196078,False
ES10,ES10C1,33,51,100.032005,100019.508,0.227268904,0.360357136,0.871218145,0.942803442,-67.5288162,-19.363979255165095,7721.960899456524,339.05069988551236,0.2737066690784314,0.34132809443137246,False
ES10,ES10C1,34,51,100.032005,100019.508,0.221402124,0.344519943,0.87011081,0.935834825,-68.3989334,-20.07729926068627,1182.380998255319,344.26816370417237,0.2613001118431373,0.3300083644705883,False
ES10,ES10C1,35,51,100.032005,100019.508,0.228669316,0.354936868,0.87007159,0.939683318,-67.8074951,-19.62849245352941,1163.1884262608698,342.81568045808694,0.2704029308235294,0.3382086414509804,False
ES10,ES10C1,36,51,100.032005,100019.508,0.225706369,0.357274443,0.873768747,0.943989873,-67.7608871,-19.690804274725494,1164.1070824680849,332.89308244038295,0.2726495873921569,0.3405521502941177,False
ES10,ES10C1,37,51,100.032005,100019.508,0.226015031,0.354238749,0.871914983,0.941127419,-67.8892365,-19.689137277307847,1151.1662089565218,342.8743925882609,0.2701859640980392,0.3381070885882353,False
ES10,ES10C1,38,51,100.032005,100019.508,0.218144223,0.343438268,0.868051291,0.933521748,-68.4141235,-19.6892999178549,1403.9014039565216,350.5707491864348,0.2632452380980392,0.33145439888235295,False
ES10,ES10C1,39,51,100.032005,100019.508,0.224236786,0.349156767,0.869360089,0.936855078,-68.1183701,-19.453987416333334,1221.8625787173914,344.22721562854997,0.2699106119411765,0.337450779,False
ES10,ES10C1,40,51,100.032005,100019.508,0.223025635,0.340694904,0.868917704,0.933322549,-68.5902939,-19.645126180688234,1391.9804791956522,351.15468975844567,0.26339554403921567,0.33178019292156863,False
